iter	Logloss
0	0.6819175874
1	0.6713195556
2	0.6615917144
3	0.6523328455
4	0.641953045
5	0.6339574786
6	0.6229006732
7	0.612622739
8	0.60277195
9	0.5951560285
10	0.5872833202
11	0.5784394209
12	0.5693146147
13	0.561691681
14	0.5544100528
15	0.5461334708
16	0.5389317804
17	0.5312198561
18	0.5239051372
19	0.5158079179
20	0.5095922341
21	0.5025824637
22	0.4952776439
23	0.4896551987
24	0.4827536301
25	0.4760131382
26	0.4700227909
27	0.4642633107
28	0.4573889641
29	0.4503404734
30	0.4436967962
31	0.4380743941
32	0.433190934
33	0.427663666
34	0.4212389444
35	0.4150255867
36	0.4089211762
37	0.4033616627
38	0.3976137641
39	0.3929200127
40	0.3884492069
41	0.3832242009
42	0.3793103715
43	0.3749445122
44	0.3702820649
45	0.3654477378
46	0.3605948518
47	0.3560601135
48	0.3521232291
49	0.3475783186
50	0.3428057144
51	0.3385624278
52	0.3344758713
53	0.330020429
54	0.3256547996
55	0.3218710823
56	0.3182713759
57	0.3139613417
58	0.3104519188
59	0.3064449668
60	0.3024155925
61	0.2987652954
62	0.2953335206
63	0.2916328865
64	0.2878033485
65	0.2848556902
66	0.2815584895
67	0.2782951506
68	0.2749664738
69	0.2720467113
70	0.2690041917
71	0.2660233924
72	0.2629817991
73	0.2607361722
74	0.2577295498
75	0.2551269647
76	0.2521144401
77	0.2488994852
78	0.2463306275
79	0.2442542613
80	0.2414883222
81	0.2388992062
82	0.2361946358
83	0.2339616457
84	0.2318416944
85	0.2296346531
86	0.2274628428
87	0.2249315146
88	0.2226393713
89	0.2207504821
90	0.2186956549
91	0.2166644903
92	0.2142750877
93	0.2121400597
94	0.2100715665
95	0.2077749639
96	0.2062287457
97	0.204186713
98	0.2020731382
99	0.2001764947
100	0.1984615536
101	0.1966079869
102	0.194555801
103	0.1929198503
104	0.1910891936
105	0.1893789294
106	0.1875201256
107	0.1856579672
108	0.1843476159
109	0.1822993554
110	0.1805630519
111	0.1790861755
112	0.1777372147
113	0.1757063021
114	0.1739295229
115	0.1723352652
116	0.1709513991
117	0.1693792414
118	0.1676431279
119	0.1663444235
120	0.1648074512
121	0.1633800563
122	0.1622028947
123	0.1610963338
124	0.1600478411
125	0.1587194643
126	0.1576908032
127	0.1564110486
128	0.1548493922
129	0.1533538791
130	0.1520867353
131	0.1504538739
132	0.1492939538
133	0.1480179001
134	0.146801782
135	0.1457344839
136	0.1445077264
137	0.1433113664
138	0.1421411859
139	0.1409016341
140	0.139974739
141	0.1391352592
142	0.1381310397
143	0.1369790346
144	0.1360613176
145	0.1349305262
146	0.1337971082
147	0.1326319593
148	0.131652465
149	0.1307607947
150	0.1297556573
151	0.1286560784
152	0.1277322038
153	0.1268548162
154	0.1259780889
155	0.1250197323
156	0.1240460712
157	0.1231262003
158	0.1222983722
159	0.1212518934
160	0.1203432787
161	0.1194107931
162	0.1186821858
163	0.1177155123
164	0.1168437728
165	0.116089376
166	0.1154168829
167	0.1141497418
168	0.1133142646
169	0.1125156027
170	0.1113737591
171	0.1105147686
172	0.1095826169
173	0.109121179
174	0.1082947418
175	0.1076270185
176	0.1069685753
177	0.1060986575
178	0.1053601012
179	0.1046347876
180	0.1039064085
181	0.1030886327
182	0.1025382095
183	0.1018902427
184	0.1011803126
185	0.1006803992
186	0.09983552444
187	0.09916434363
188	0.09846280975
189	0.09775959073
190	0.09732735973
191	0.09684941926
192	0.09623510459
193	0.09574089327
194	0.09514168715
195	0.09440464216
196	0.0936751564
197	0.09309187639
198	0.0926039547
199	0.09211077805
200	0.09178847446
201	0.09129433248
202	0.09078745823
203	0.09031608644
204	0.08995410535
205	0.08930520516
206	0.08879258836
207	0.08833248562
208	0.08775936559
209	0.08710678357
210	0.08663434284
211	0.08614636516
212	0.0855963846
213	0.08512537418
214	0.08472579643
215	0.0842240214
216	0.08364757028
217	0.08321319288
218	0.08282233613
219	0.08246722708
220	0.08208663482
221	0.0816373838
222	0.08103978102
223	0.08067543249
224	0.08022400906
225	0.07989085719
226	0.07941366993
227	0.07891808356
228	0.07853579391
229	0.07809881971
230	0.07774958559
231	0.07730247921
232	0.07683553958
233	0.07639949921
234	0.07593938593
235	0.07549005809
236	0.07515627715
237	0.07480922761
238	0.07429721135
239	0.07380390645
240	0.07333659427
241	0.07307656759
242	0.07274623511
243	0.07235469878
244	0.07184525798
245	0.07152990448
246	0.07112827736
247	0.0708416737
248	0.07046030287
249	0.07006720396
250	0.06972542014
251	0.06932832102
252	0.06898090167
253	0.06856708392
254	0.06827310627
255	0.06781220915
256	0.06754014541
257	0.06709207044
258	0.06679249645
259	0.06646692329
260	0.06614114324
261	0.06585605076
262	0.0655217204
263	0.06513306076
264	0.06488866865
265	0.06460595281
266	0.06417524473
267	0.06387286458
268	0.06357655026
269	0.06324964044
270	0.06284861607
271	0.06241110097
272	0.06212489003
273	0.06172402821
274	0.06146400072
275	0.06107670013
276	0.06081182698
277	0.06055591677
278	0.06027004527
279	0.05992840696
280	0.05961479054
281	0.05940839677
282	0.05911095203
283	0.05884868084
284	0.05858563213
285	0.05830882579
286	0.05806425562
287	0.05779549635
288	0.05748789508
289	0.05726129518
290	0.05688829296
291	0.05666664008
292	0.05639218098
293	0.05614567846
294	0.05588220726
295	0.05560299231
296	0.05542012072
297	0.05523798303
298	0.05498649426
299	0.0546574601
300	0.05433821274
301	0.05398848709
302	0.05373851018
303	0.05350731219
304	0.0533002815
305	0.05304159332
306	0.05279061266
307	0.05257165012
308	0.05229126518
309	0.05199531142
310	0.05175796503
311	0.05158435572
312	0.05138205536
313	0.05113647993
314	0.05090763767
